x,y,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
267.000,179.000,0.509,0.648,-0.787,-0.234,-0.773,-0.096,-1.016,-0.768,-0.515,-0.501
199.000,26.000,0.169,0.367,-0.718,0.552,0.245,0.722,0.811,-0.326,0.698,0.571
64.000,102.000,-0.266,0.482,-0.358,-0.925,0.977,0.252,-0.109,-0.337,-0.248,0.479
387.000,117.000,-0.605,-0.542,-0.750,-0.798,-0.058,-0.140,0.650,-0.109,-0.502,-0.052
188.000,317.000,-0.071,-0.086,0.608,-0.628,-0.120,0.724,-0.910,-0.692,-0.643,-0.869
246.000,235.000,0.368,-0.784,-0.822,0.897,-1.044,-0.671,-0.520,0.567,0.423,0.141
326.000,238.000,-0.127,0.250,-0.786,-0.164,0.021,-0.472,0.294,-0.269,-0.272,-0.171
299.000,15.000,-0.487,0.433,-0.956,0.398,-0.297,-0.307,-0.103,0.053,0.574,-0.585
417.000,222.000,-0.039,0.932,-0.205,-0.986,-0.805,-0.205,-0.578,-0.345,0.383,-0.533
194.000,195.000,0.145,0.025,0.258,-0.917,-0.407,0.405,0.785,0.040,1.186,0.755
456.000,192.000,0.203,-0.181,-0.492,0.103,-0.070,0.144,-0.483,0.151,0.362,0.551
190.000,372.000,-0.076,0.701,-0.151,0.451,0.658,-0.637,-0.602,0.361,-0.575,0.064
168.000,17.000,-0.436,-0.067,0.495,-0.730,0.259,0.775,0.152,-0.747,-0.378,-0.805
91.000,392.000,-0.059,0.162,0.590,-0.437,-0.263,0.509,0.826,-0.218,0.610,-0.095
175.000,325.000,-0.847,0.098,0.580,-0.276,0.459,-0.831,0.367,1.022,0.521,-0.026
61.000,409.000,-0.316,-0.679,-0.719,0.839,0.681,-0.071,0.788,-0.093,-0.510,-0.072
322.000,336.000,-0.340,-0.852,-0.709,0.286,0.041,-0.651,-0.067,0.122,-0.562,-0.379
498.000,286.000,-0.338,0.675,-0.330,-0.665,0.385,-0.755,-0.092,0.210,-0.093,0.123
424.000,318.000,0.261,0.252,-0.061,0.752,0.449,0.446,0.584,-0.057,0.133,0.502
128.000,416.000,0.009,-0.839,-0.120,0.835,-0.020,0.296,-1.053,0.447,0.135,0.086
440.000,372.000,-0.907,0.350,-0.474,-0.446,-0.028,-0.537,-0.715,0.307,0.393,-0.751
358.000,48.000,-0.734,-0.782,-0.096,0.218,0.885,0.688,-0.131,0.290,0.397,0.140
163.000,184.000,0.356,0.300,0.972,0.924,-0.485,-0.010,-0.026,0.186,-0.127,-0.527
90.000,440.000,-0.409,0.065,0.518,0.080,1.070,0.170,-0.883,0.634,-0.040,0.386
230.000,406.000,0.218,0.503,-0.714,0.622,0.303,-0.753,0.220,0.069,-0.541,0.233
212.000,96.000,-0.881,-0.006,0.269,-0.454,-0.295,-0.648,0.620,0.348,0.469,-0.890
267.000,480.000,-0.028,-0.029,-0.424,-0.510,0.693,0.273,-0.282,-0.121,-0.111,0.693
210.000,39.000,0.137,-0.547,0.344,0.638,-0.596,0.111,0.849,-0.106,0.057,-0.480
197.000,44.000,0.041,-0.789,-0.090,-0.520,-0.654,0.478,0.700,-1.006,-0.457,-0.816
226.000,55.000,-0.067,-0.686,0.128,-0.991,-0.541,0.232,-0.108,-0.484,-0.179,-0.440
2.000,239.000,-0.518,0.569,-0.092,-0.283,0.280,-0.518,-0.063,0.004,-0.292,-0.589
88.000,330.000,0.208,0.110,0.296,0.890,-0.573,0.669,0.338,-0.204,0.517,-0.455
277.000,454.000,-0.183,0.660,0.734,-0.270,-0.305,0.780,0.605,-0.558,0.444,-0.768
41.000,373.000,-0.389,-0.400,-0.476,-0.510,-0.807,-0.091,-0.611,-0.190,0.283,-0.834
352.000,28.000,-0.256,0.693,0.526,0.154,-0.418,-0.352,-0.987,0.399,0.208,-0.795
204.000,487.000,-0.593,-0.250,-0.618,-0.257,0.424,-0.823,0.183,0.071,-0.593,-0.369
107.000,144.000,0.348,-0.186,0.482,0.488,-1.013,-0.237,1.086,0.019,0.312,-0.376
231.000,133.000,-0.220,-0.311,0.252,0.055,-0.033,-0.407,-0.299,0.077,0.125,0.619
137.000,147.000,0.370,0.500,-0.196,1.081,-0.972,-0.634,-1.037,0.281,-0.066,-0.694
213.000,369.000,0.065,-0.658,0.292,0.058,-0.552,-0.317,-0.726,-0.253,-1.049,-1.024
319.000,247.000,0.215,0.872,-0.036,-0.848,0.057,-0.497,0.150,0.078,0.156,0.627
130.000,112.000,0.112,-0.748,0.394,0.018,-0.651,-0.584,-0.557,0.521,-0.104,-0.172
274.000,335.000,0.011,0.201,-0.129,-0.130,0.565,0.100,0.242,-0.573,-0.908,-0.181
298.000,407.000,-0.039,-0.278,0.545,0.740,-0.333,0.265,-0.039,0.119,0.097,-0.589
493.000,245.000,-0.887,0.804,0.518,0.456,0.018,-0.277,-0.218,0.795,0.986,-0.786
91.000,179.000,0.454,-0.313,0.619,-0.617,-0.176,-0.124,0.003,-0.283,-0.817,0.061
381.000,153.000,0.532,0.124,-0.342,0.654,-0.130,0.351,0.022,-0.282,-0.064,0.269
376.000,362.000,-0.381,0.694,-0.340,-0.724,-0.069,-0.871,-0.549,-0.258,0.006,0.374
456.000,239.000,-0.053,-0.492,-1.060,0.762,0.401,0.325,-0.294,-0.229,-0.260,0.090
454.000,307.000,0.179,0.004,0.057,0.923,0.599,0.324,-0.306,0.275,-0.094,0.460
285.000,216.000,0.471,0.433,0.429,0.095,-0.072,0.173,-0.245,0.061,0.068,0.399
